classID,className,pt1,eta1,phi1,pt2,eta2,phi2,weight,BDT
1,Background,0.7573057,3.2465012,-1.0535,0.6958174,8.096703,-2.4884298,1.0,-0.10747256
0,Signal,5.522089,3.920114,2.7691898,0.86018664,-0.041980054,2.6614532,1.0,0.17187527
0,Signal,1.858525,-3.8168428,-1.8713185,0.59190834,7.560955,2.7141864,1.0,0.13123143
1,Background,0.890708,-3.6199248,1.0547407,0.63055307,1.5324711,1.1079434,1.0,-0.13252807
0,Signal,2.555081,-6.5652614,-2.1405044,0.75090975,7.5696898,-2.3498514,1.0,0.24355139
0,Signal,0.98233604,-4.4297233,-1.0378135,0.24022882,-6.810492,-1.5136216,1.0,0.056280427
0,Signal,1.6429204,-4.5143332,-1.2075197,0.7577829,3.1499465,1.7383647,1.0,0.056576677
0,Signal,3.4090917,4.2998896,0.90792537,1.2264447,-2.7142026,2.838749,1.0,0.18567045
1,Background,0.7229925,-7.8540206,3.0674112,0.6229933,1.6652256,0.32490548,1.0,-0.05179064
1,Background,0.80545205,6.532402,-0.52367073,0.77162474,-7.190499,-3.0040433,1.0,-0.16130131
1,Background,0.93651605,5.438066,2.5602913,0.62733006,-2.7847478,-0.1415385,1.0,-0.09538132
1,Background,0.6560383,-4.4282517,-2.1156018,0.59029484,-3.7618968,1.1078131,1.0,-0.1512635
0,Signal,1.1409577,-4.0702677,-0.4946142,0.7933148,-4.1769443,2.3766744,1.0,-0.051486112
0,Signal,3.956503,-0.47522256,-2.7153435,0.7756696,-4.533666,-1.1204643,1.0,0.3273794
1,Background,0.77349824,4.5729012,-1.041726,0.5079668,-3.7877846,-0.32273474,1.0,-0.11658302
1,Background,0.5580953,-0.5587531,1.1439679,0.4801702,-1.742288,1.3005487,1.0,-0.13495103
1,Background,0.75827265,-1.0578136,-1.8969287,0.69859755,4.4814963,-3.0723927,1.0,-0.090849474
0,Signal,2.788254,-6.0018864,-2.3741586,1.1816912,4.4742923,-3.014128,1.0,0.12890778
1,Background,0.80692065,7.2104287,-1.7351049,0.52468324,3.457921,-0.35678238,1.0,-0.109222166
0,Signal,7.54329,-2.522555,0.9282983,1.4454722,2.3658488,-0.32396942,1.0,0.1973056
1,Background,0.59583324,-5.7153373,2.5514219,0.5298554,-4.230528,1.0572838,1.0,-0.11665095
1,Background,0.70502764,-7.469443,-1.848389,0.6587887,6.393244,0.99100184,1.0,-0.14852181
0,Signal,1.9742814,-6.9061413,-0.5986055,0.59221745,4.2074614,0.662305,1.0,0.26672187
0,Signal,3.3721673,1.2302737,-2.0564296,0.5652291,4.0042634,-1.6751565,1.0,0.20191693
1,Background,0.6159228,3.9402308,-0.85021466,0.60180736,-1.3867717,-0.34619465,1.0,-0.15252766
1,Background,1.0592307,-2.843781,2.057816,0.6238526,1.5495995,-2.1386595,1.0,-0.051313918
0,Signal,5.5344243,-4.2936215,-2.305804,0.48920584,7.5186515,0.46913686,1.0,0.24261926
0,Signal,2.5821345,5.6029963,-2.123258,1.120222,4.3943706,-0.3770168,1.0,0.1290222
0,Signal,3.7845814,-1.3145932,-0.7756248,0.7791917,-6.4521794,-2.6951778,1.0,0.4052915
0,Signal,3.5876873,7.57046,0.9492891,0.7833096,-4.4300427,-0.53029406,1.0,0.3849996
0,Signal,1.8290908,7.8305163,2.3634782,0.9343658,5.714013,-1.597616,1.0,0.16117106
1,Background,0.7726623,-1.4944891,-0.42910454,0.65837175,-5.4431987,-0.107855864,1.0,-0.08593375
1,Background,0.5542315,1.4187832,-3.1140025,0.42826757,2.702225,1.3084915,1.0,-0.1841752
0,Signal,1.4451195,-4.5879574,-0.45042518,1.0513726,-7.2616262,2.6398804,1.0,0.019261647
1,Background,0.8789865,-8.145661,-0.65016294,0.5162201,-1.0898868,-0.22957894,1.0,-0.10172393
1,Background,0.75574225,2.0851338,-1.5706565,0.73219675,7.387334,-1.5874026,1.0,-0.1594226
1,Background,1.2762063,4.160862,-1.270397,0.6092067,-1.0136234,2.3689907,1.0,-0.0042128577
1,Background,0.8839008,-0.5015718,-0.7728986,0.6021443,-2.8253427,1.1952046,1.0,-0.08937599
0,Signal,2.2094715,6.2424955,-2.4670422,1.2352871,-2.1336024,-1.7752552,1.0,0.072569735
1,Background,0.4174585,3.3689184,-2.5404391,0.38278338,-3.9097981,-1.1778259,1.0,-0.15685609
1,Background,0.851025,5.079661,-1.9047525,0.4748212,-1.2260356,-1.3641257,1.0,-0.032539837
1,Background,0.57886666,-0.21454647,-0.64138025,0.34429502,-0.937542,2.1530828,1.0,-0.116964325
0,Signal,7.5745425,6.7868733,3.120477,0.88897073,0.20991164,2.604907,1.0,0.2175371
0,Signal,1.7613599,-6.0048094,1.2908962,0.9079353,-4.750917,-2.527726,1.0,0.16196334
0,Signal,2.957135,4.20516,-0.67347026,0.65940046,3.4084682,2.3603241,1.0,0.22159304
0,Signal,1.0675402,-4.146485,-1.6266485,0.47534207,-1.6173829,0.5461356,1.0,-0.008226323
0,Signal,1.7944478,5.8896127,-0.90336776,0.77295524,6.6943226,1.8029925,1.0,0.16316131
1,Background,0.85497254,0.66972494,1.4710314,0.8026215,3.2946641,-2.3781934,1.0,-0.14960591
1,Background,0.49601436,-6.112075,1.0779591,0.408111,-4.3838625,-1.5759548,1.0,-0.1590276
1,Background,1.1544855,-1.3446817,2.4495912,0.5639267,4.952074,0.37742594,1.0,-0.020216826
0,Signal,4.50668,2.0750444,3.1204941,1.7781342,2.1184182,0.006767116,1.0,0.14161384
1,Background,0.8109676,-3.9792957,0.6910232,0.7941585,-2.0125446,0.5704202,1.0,-0.15691131
1,Background,0.4961793,3.4997678,1.9220618,0.44102734,-3.3588347,-1.9109159,1.0,-0.17513774
0,Signal,2.5597703,-6.8980355,1.5380015,0.35125685,-5.4388103,-1.3040501,1.0,0.4042711
1,Background,0.6423721,-3.8952029,2.2430847,0.52921975,6.581591,-0.8599245,1.0,-0.13739324
1,Background,1.1364516,4.207404,2.321092,0.6115247,-7.715631,-2.0743413,1.0,-0.037956957
0,Signal,0.9780894,-2.5685954,0.8155492,0.757805,6.023473,0.9597992,1.0,-0.069123596
1,Background,0.7860372,-5.999155,2.1951387,0.6227871,5.3137217,-1.1017839,1.0,-0.16424136
1,Background,0.6262194,0.7564886,-2.295551,0.41917863,-0.93268985,-1.3212078,1.0,-0.17464201
0,Signal,1.1641185,-8.468171,-2.570183,0.97035086,-4.31668,1.0690048,1.0,0.010251447
0,Signal,5.68772,2.0427418,-2.6068177,1.1721778,0.5655027,-0.36126554,1.0,0.29157838
1,Background,0.65633446,8.1034975,-2.703163,0.58524776,3.3637946,0.5672804,1.0,-0.092994206
0,Signal,1.0418476,3.497176,-0.23917235,0.7093314,3.6943216,-0.1271559,1.0,-0.053031653
1,Background,0.67773736,5.1139216,-0.6244526,0.4982175,-6.262168,-2.328505,1.0,-0.07066004
1,Background,1.3940531,1.2173153,-0.86227936,0.63914555,5.8519874,0.6399747,1.0,-0.003674291
0,Signal,2.5855427,-7.60121,1.0874122,0.70239645,3.6520329,1.2416178,1.0,0.31705862
0,Signal,5.410079,-2.186193,0.61241204,1.9331893,-1.2081708,2.4042518,1.0,0.17108072
0,Signal,7.1026945,-0.38847417,-2.386567,1.3322567,-0.085672416,-0.51262695,1.0,0.20667751
0,Signal,9.95372,-3.3900259,1.2413422,1.6137009,-2.745342,-1.7096934,1.0,0.2381989
1,Background,0.6140887,8.474753,-0.5814342,0.6010933,1.8622025,1.2495817,1.0,-0.10876475
